project_id,sov_line_id,line_number,description,application_number,scheduled_value,previous_billed,this_period,total_billed,pct_complete,pct_manually_adjusted,balance_to_finish
PRJ-2019-088,PRJ-2019-088-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",16,300300,284400,8400,292800,97.5,False,7500
PRJ-2019-088,PRJ-2019-088-SOV-14,14,Startup & Commissioning Support,16,217600,206200,6400,212600,97.7,False,5000
PRJ-2019-088,PRJ-2019-088-SOV-15,15,Closeout Documentation & Training,16,173900,164800,4900,169700,97.6,True,4200
PRJ-2019-089,PRJ-2019-089-SOV-01,1,General Conditions & Project Management,12,813000,811800,1200,813000,100.0,False,0
PRJ-2019-089,PRJ-2019-089-SOV-02,2,Submittals & Engineering,12,444100,443300,800,444100,100.0,False,0
PRJ-2019-089,PRJ-2019-089-SOV-03,3,Ductwork - Fabrication,16,1291400,1260500,27800,1288300,99.8,True,3100
PRJ-2019-089,PRJ-2019-089-SOV-04,4,Ductwork - Installation,16,1341600,1311300,25300,1336600,99.6,True,5000
PRJ-2019-089,PRJ-2019-089-SOV-05,5,Piping - Hydronic Systems,16,1077900,1053600,22900,1076500,99.9,True,1400
PRJ-2019-089,PRJ-2019-089-SOV-06,6,Piping - Refrigerant,16,536700,523000,11600,534600,99.6,False,2100
PRJ-2019-089,PRJ-2019-089-SOV-07,7,Equipment - RTUs/AHUs,16,2112900,2060000,44600,2104600,99.6,False,8300
PRJ-2019-089,PRJ-2019-089-SOV-08,8,Equipment - Chillers/Boilers,16,1589200,1549400,36400,1585800,99.8,True,3400
PRJ-2019-089,PRJ-2019-089-SOV-09,9,Equipment - Terminal Units (VAV/FCU),16,1058300,1033900,22200,1056100,99.8,False,2200
PRJ-2019-089,PRJ-2019-089-SOV-10,10,Controls - DDC/BAS Installation,16,946300,899000,23500,922500,97.5,True,23800
PRJ-2019-089,PRJ-2019-089-SOV-11,11,Controls - Programming & Commissioning,16,455500,432400,11800,444200,97.5,True,11300
PRJ-2019-089,PRJ-2019-089-SOV-12,12,Insulation,16,496600,472200,11500,483700,97.4,False,12900
PRJ-2019-089,PRJ-2019-089-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",16,359200,340700,10200,350900,97.7,True,8300
PRJ-2019-089,PRJ-2019-089-SOV-14,14,Startup & Commissioning Support,16,276000,261600,7400,269000,97.5,True,7000
PRJ-2019-089,PRJ-2019-089-SOV-15,15,Closeout Documentation & Training,16,170300,161100,5000,166100,97.5,True,4200
PRJ-2019-090,PRJ-2019-090-SOV-01,1,General Conditions & Project Management,10,257700,257600,100,257700,100.0,False,0
PRJ-2019-090,PRJ-2019-090-SOV-02,2,Submittals & Engineering,9,64200,63800,400,64200,100.0,False,0
PRJ-2019-090,PRJ-2019-090-SOV-03,3,Ductwork - Fabrication,12,280500,271800,8500,280300,99.9,True,200
PRJ-2019-090,PRJ-2019-090-SOV-04,4,Ductwork - Installation,12,352100,340900,11000,351900,99.9,True,200
PRJ-2019-090,PRJ-2019-090-SOV-05,5,Piping - Hydronic Systems,12,333700,323400,9000,332400,99.6,True,1300
PRJ-2019-090,PRJ-2019-090-SOV-06,6,Piping - Refrigerant,12,134500,130400,3700,134100,99.7,False,400
PRJ-2019-090,PRJ-2019-090-SOV-07,7,Equipment - RTUs/AHUs,12,416700,403800,12500,416300,99.9,False,400
PRJ-2019-090,PRJ-2019-090-SOV-08,8,Equipment - Chillers/Boilers,12,348100,337100,9900,347000,99.7,True,1100
PRJ-2019-090,PRJ-2019-090-SOV-09,9,Equipment - Terminal Units (VAV/FCU),12,275900,267400,8000,275400,99.8,True,500
PRJ-2019-090,PRJ-2019-090-SOV-10,10,Controls - DDC/BAS Installation,12,278600,262500,9200,271700,97.5,True,6900
PRJ-2019-090,PRJ-2019-090-SOV-11,11,Controls - Programming & Commissioning,12,148900,140300,4500,144800,97.2,True,4100
PRJ-2019-090,PRJ-2019-090-SOV-12,12,Insulation,12,154100,145200,4600,149800,97.2,False,4300
PRJ-2019-090,PRJ-2019-090-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",12,101900,95500,4000,99500,97.6,True,2400
PRJ-2019-090,PRJ-2019-090-SOV-14,14,Startup & Commissioning Support,12,67000,62700,2500,65200,97.3,True,1800
PRJ-2019-090,PRJ-2019-090-SOV-15,15,Closeout Documentation & Training,12,62100,58200,2300,60500,97.4,True,1600
PRJ-2019-091,PRJ-2019-091-SOV-01,1,General Conditions & Project Management,12,2713300,2713000,300,2713300,100.0,False,0
PRJ-2019-091,PRJ-2019-091-SOV-02,2,Submittals & Engineering,12,1321600,1321400,200,1321600,100.0,False,0
PRJ-2019-091,PRJ-2019-091-SOV-03,3,Ductwork - Fabrication,15,4150600,4049500,92800,4142300,99.8,False,8300
PRJ-2019-091,PRJ-2019-091-SOV-04,4,Ductwork - Installation,15,4653000,4537800,99200,4637000,99.7,True,16000
PRJ-2019-091,PRJ-2019-091-SOV-05,5,Piping - Hydronic Systems,15,4049600,3944300,100600,4044900,99.9,True,4700
PRJ-2019-091,PRJ-2019-091-SOV-06,6,Piping - Refrigerant,15,1435600,1398300,32000,1430300,99.6,True,5300
PRJ-2019-091,PRJ-2019-091-SOV-07,7,Equipment - RTUs/AHUs,15,4300000,4196300,95200,4291500,99.8,False,8500
PRJ-2019-091,PRJ-2019-091-SOV-08,8,Equipment - Chillers/Boilers,15,4368800,4256200,98200,4354400,99.7,True,14400
PRJ-2019-091,PRJ-2019-091-SOV-09,9,Equipment - Terminal Units (VAV/FCU),15,2733800,2661800,61600,2723400,99.6,True,10400
PRJ-2019-091,PRJ-2019-091-SOV-10,10,Controls - DDC/BAS Installation,15,2359800,2236300,63800,2300100,97.5,True,59700
PRJ-2019-091,PRJ-2019-091-SOV-11,11,Controls - Programming & Commissioning,15,1496000,1414500,46200,1460700,97.6,True,35300
PRJ-2019-091,PRJ-2019-091-SOV-12,12,Insulation,15,1668100,1579200,44800,1624000,97.4,True,44100
PRJ-2019-091,PRJ-2019-091-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",15,1073400,1013100,37300,1050400,97.9,True,23000
PRJ-2019-091,PRJ-2019-091-SOV-14,14,Startup & Commissioning Support,15,956900,904200,31000,935200,97.7,True,21700
PRJ-2019-091,PRJ-2019-091-SOV-15,15,Closeout Documentation & Training,15,691500,651800,24500,676300,97.8,False,15200
PRJ-2019-092,PRJ-2019-092-SOV-01,1,General Conditions & Project Management,12,777900,777600,300,777900,100.0,False,0
PRJ-2019-092,PRJ-2019-092-SOV-02,2,Submittals & Engineering,12,485900,485800,100,485900,100.0,False,0
PRJ-2019-092,PRJ-2019-092-SOV-03,3,Ductwork - Fabrication,15,1479400,1443500,30500,1474000,99.6,True,5400
PRJ-2019-092,PRJ-2019-092-SOV-04,4,Ductwork - Installation,15,1449500,1412700,35200,1447900,99.9,True,1600
PRJ-2019-092,PRJ-2019-092-SOV-05,5,Piping - Hydronic Systems,15,1356900,1319500,34200,1353700,99.8,True,3200
PRJ-2019-092,PRJ-2019-092-SOV-06,6,Piping - Refrigerant,15,862300,839600,21100,860700,99.8,True,1600
PRJ-2019-092,PRJ-2019-092-SOV-07,7,Equipment - RTUs/AHUs,15,2043200,1987800,48600,2036400,99.7,True,6800
PRJ-2019-092,PRJ-2019-092-SOV-08,8,Equipment - Chillers/Boilers,15,1487200,1445800,34600,1480400,99.5,True,6800
PRJ-2019-092,PRJ-2019-092-SOV-09,9,Equipment - Terminal Units (VAV/FCU),15,979900,954600,21400,976000,99.6,False,3900
PRJ-2019-092,PRJ-2019-092-SOV-10,10,Controls - DDC/BAS Installation,15,828800,785300,23000,808300,97.5,True,20500
PRJ-2019-092,PRJ-2019-092-SOV-11,11,Controls - Programming & Commissioning,15,411900,391100,10200,401300,97.4,True,10600
PRJ-2019-092,PRJ-2019-092-SOV-12,12,Insulation,15,701600,665600,17100,682700,97.3,False,18900
PRJ-2019-092,PRJ-2019-092-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",15,382700,361500,13300,374800,97.9,True,7900
PRJ-2019-092,PRJ-2019-092-SOV-14,14,Startup & Commissioning Support,15,350200,330700,11300,342000,97.7,True,8200
PRJ-2019-092,PRJ-2019-092-SOV-15,15,Closeout Documentation & Training,15,187600,176700,6300,183000,97.5,True,4600
PRJ-2019-093,PRJ-2019-093-SOV-01,1,General Conditions & Project Management,11,823300,823100,200,823300,100.0,False,0
PRJ-2019-093,PRJ-2019-093-SOV-02,2,Submittals & Engineering,10,265900,264200,1700,265900,100.0,False,0
PRJ-2019-093,PRJ-2019-093-SOV-03,3,Ductwork - Fabrication,13,752500,738700,13000,751700,99.9,False,800
PRJ-2019-093,PRJ-2019-093-SOV-04,4,Ductwork - Installation,13,1218600,1188200,28500,1216700,99.8,True,1900
PRJ-2019-093,PRJ-2019-093-SOV-05,5,Piping - Hydronic Systems,13,990600,970900,17400,988300,99.8,True,2300
PRJ-2019-093,PRJ-2019-093-SOV-06,6,Piping - Refrigerant,13,574500,562400,10300,572700,99.7,True,1800
PRJ-2019-093,PRJ-2019-093-SOV-07,7,Equipment - RTUs/AHUs,13,1431900,1399000,28100,1427100,99.7,True,4800
PRJ-2019-093,PRJ-2019-093-SOV-08,8,Equipment - Chillers/Boilers,13,1264100,1239300,21200,1260500,99.7,True,3600
PRJ-2019-093,PRJ-2019-093-SOV-09,9,Equipment - Terminal Units (VAV/FCU),13,630000,617600,11600,629200,99.9,True,800
PRJ-2019-093,PRJ-2019-093-SOV-10,10,Controls - DDC/BAS Installation,13,577900,551900,11000,562900,97.4,False,15000
PRJ-2019-093,PRJ-2019-093-SOV-11,11,Controls - Programming & Commissioning,13,327100,312700,6200,318900,97.5,False,8200
PRJ-2019-093,PRJ-2019-093-SOV-12,12,Insulation,13,515000,492100,11000,503100,97.7,True,11900
PRJ-2019-093,PRJ-2019-093-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",13,353000,336400,8000,344400,97.6,True,8600
PRJ-2019-093,PRJ-2019-093-SOV-14,14,Startup & Commissioning Support,13,266600,253600,6400,260000,97.5,True,6600
PRJ-2019-093,PRJ-2019-093-SOV-15,15,Closeout Documentation & Training,13,144000,136400,4200,140600,97.6,True,3400
PRJ-2019-094,PRJ-2019-094-SOV-01,1,General Conditions & Project Management,12,1698200,1698000,200,1698200,100.0,False,0
PRJ-2019-094,PRJ-2019-094-SOV-02,2,Submittals & Engineering,10,549800,546900,2900,549800,100.0,False,0
PRJ-2019-094,PRJ-2019-094-SOV-03,3,Ductwork - Fabrication,14,2169400,2136600,30400,2167000,99.9,True,2400
PRJ-2019-094,PRJ-2019-094-SOV-04,4,Ductwork - Installation,14,2417300,2407500,7400,2414900,99.9,False,2400
PRJ-2019-094,PRJ-2019-094-SOV-05,5,Piping - Hydronic Systems,14,1935600,1917900,14300,1932200,99.8,True,3400
PRJ-2019-094,PRJ-2019-094-SOV-06,6,Piping - Refrigerant,14,1033700,1022900,10100,1033000,99.9,True,700
PRJ-2019-094,PRJ-2019-094-SOV-07,7,Equipment - RTUs/AHUs,14,2879300,2843600,33600,2877200,99.9,True,2100
PRJ-2019-094,PRJ-2019-094-SOV-08,8,Equipment - Chillers/Boilers,14,2480000,2470400,7900,2478300,99.9,True,1700
PRJ-2019-094,PRJ-2019-094-SOV-09,9,Equipment - Terminal Units (VAV/FCU),14,1900500,1885900,13300,1899200,99.9,True,1300
PRJ-2019-094,PRJ-2019-094-SOV-10,10,Controls - DDC/BAS Installation,14,1331700,1277000,22900,1299900,97.6,True,31800
PRJ-2019-094,PRJ-2019-094-SOV-11,11,Controls - Programming & Commissioning,14,891500,864900,6000,870900,97.7,True,20600
PRJ-2019-094,PRJ-2019-094-SOV-12,12,Insulation,14,963600,931800,8200,940000,97.6,True,23600
PRJ-2019-094,PRJ-2019-094-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",14,764600,731800,15700,747500,97.8,True,17100
PRJ-2019-094,PRJ-2019-094-SOV-14,14,Startup & Commissioning Support,14,588800,568500,7800,576300,97.9,True,12500
PRJ-2019-094,PRJ-2019-094-SOV-15,15,Closeout Documentation & Training,14,379000,364200,5900,370100,97.7,True,8900
PRJ-2019-095,PRJ-2019-095-SOV-01,1,General Conditions & Project Management,19,711300,710900,400,711300,100.0,False,0
PRJ-2019-095,PRJ-2019-095-SOV-02,2,Submittals & Engineering,19,300400,300300,100,300400,100.0,False,0
PRJ-2019-095,PRJ-2019-095-SOV-03,3,Ductwork - Fabrication,26,1071900,1057100,12500,1069600,99.8,True,2300
PRJ-2019-095,PRJ-2019-095-SOV-04,4,Ductwork - Installation,26,1032700,1020300,10900,1031200,99.9,True,1500
PRJ-2019-095,PRJ-2019-095-SOV-05,5,Piping - Hydronic Systems,26,1122000,1106600,13300,1119900,99.8,True,2100
PRJ-2019-095,PRJ-2019-095-SOV-06,6,Piping - Refrigerant,26,644500,635400,8500,643900,99.9,False,600
PRJ-2019-095,PRJ-2019-095-SOV-07,7,Equipment - RTUs/AHUs,26,1508200,1493000,12800,1505800,99.8,True,2400
PRJ-2019-095,PRJ-2019-095-SOV-08,8,Equipment - Chillers/Boilers,26,1221600,1204800,15100,1219900,99.9,True,1700
PRJ-2019-095,PRJ-2019-095-SOV-09,9,Equipment - Terminal Units (VAV/FCU),26,738600,729300,8900,738200,99.9,True,400
PRJ-2019-095,PRJ-2019-095-SOV-10,10,Controls - DDC/BAS Installation,26,740600,714200,8500,722700,97.6,True,17900
PRJ-2019-095,PRJ-2019-095-SOV-11,11,Controls - Programming & Commissioning,26,509000,490900,5900,496800,97.6,False,12200
PRJ-2019-095,PRJ-2019-095-SOV-12,12,Insulation,26,613500,590000,9300,599300,97.7,True,14200
PRJ-2019-095,PRJ-2019-095-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",26,328700,316900,4900,321800,97.9,False,6900
PRJ-2019-095,PRJ-2019-095-SOV-14,14,Startup & Commissioning Support,26,296700,285100,5000,290100,97.8,True,6600
PRJ-2019-095,PRJ-2019-095-SOV-15,15,Closeout Documentation & Training,26,161300,154900,3000,157900,97.9,False,3400
PRJ-2019-096,PRJ-2019-096-SOV-01,1,General Conditions & Project Management,10,593700,592900,800,593700,100.0,False,0
PRJ-2019-096,PRJ-2019-096-SOV-02,2,Submittals & Engineering,9,334900,334500,400,334900,100.0,False,0
PRJ-2019-096,PRJ-2019-096-SOV-03,3,Ductwork - Fabrication,12,748700,725500,21300,746800,99.7,True,1900
PRJ-2019-096,PRJ-2019-096-SOV-04,4,Ductwork - Installation,12,1121200,1085700,34300,1120000,99.9,False,1200
PRJ-2019-096,PRJ-2019-096-SOV-05,5,Piping - Hydronic Systems,12,892300,864200,27100,891300,99.9,True,1000
PRJ-2019-096,PRJ-2019-096-SOV-06,6,Piping - Refrigerant,12,571400,553500,15400,568900,99.6,True,2500
PRJ-2019-096,PRJ-2019-096-SOV-07,7,Equipment - RTUs/AHUs,12,1266600,1226100,38600,1264700,99.8,True,1900
PRJ-2019-096,PRJ-2019-096-SOV-08,8,Equipment - Chillers/Boilers,12,993500,962000,28200,990200,99.7,True,3300
PRJ-2019-096,PRJ-2019-096-SOV-09,9,Equipment - Terminal Units (VAV/FCU),12,853300,827200,24300,851500,99.8,True,1800
PRJ-2019-096,PRJ-2019-096-SOV-10,10,Controls - DDC/BAS Installation,12,650400,612900,19400,632300,97.2,True,18100
PRJ-2019-096,PRJ-2019-096-SOV-11,11,Controls - Programming & Commissioning,12,447600,421700,13500,435200,97.2,True,12400
PRJ-2019-096,PRJ-2019-096-SOV-12,12,Insulation,12,448700,422200,14600,436800,97.3,True,11900
PRJ-2019-096,PRJ-2019-096-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",12,249200,233500,9800,243300,97.6,True,5900
PRJ-2019-096,PRJ-2019-096-SOV-14,14,Startup & Commissioning Support,12,248400,232200,10300,242500,97.6,True,5900
PRJ-2019-096,PRJ-2019-096-SOV-15,15,Closeout Documentation & Training,12,168100,157500,6100,163600,97.3,True,4500
PRJ-2019-097,PRJ-2019-097-SOV-01,1,General Conditions & Project Management,11,607200,607100,100,607200,100.0,False,0
PRJ-2019-097,PRJ-2019-097-SOV-02,2,Submittals & Engineering,11,179300,179000,300,179300,100.0,False,0
PRJ-2019-097,PRJ-2019-097-SOV-03,3,Ductwork - Fabrication,14,949800,942700,6500,949200,99.9,True,600
PRJ-2019-097,PRJ-2019-097-SOV-04,4,Ductwork - Installation,14,1006400,992600,11600,1004200,99.8,True,2200
PRJ-2019-097,PRJ-2019-097-SOV-05,5,Piping - Hydronic Systems,14,686500,677900,7300,685200,99.8,True,1300
PRJ-2019-097,PRJ-2019-097-SOV-06,6,Piping - Refrigerant,14,452500,449900,2000,451900,99.9,True,600
PRJ-2019-097,PRJ-2019-097-SOV-07,7,Equipment - RTUs/AHUs,14,1381700,1371700,8100,1379800,99.9,True,1900
PRJ-2019-097,PRJ-2019-097-SOV-08,8,Equipment - Chillers/Boilers,14,694100,685100,7700,692800,99.8,True,1300
PRJ-2019-097,PRJ-2019-097-SOV-09,9,Equipment - Terminal Units (VAV/FCU),14,615300,607400,6900,614300,99.8,True,1000
PRJ-2019-097,PRJ-2019-097-SOV-10,10,Controls - DDC/BAS Installation,14,578000,560200,4300,564500,97.7,True,13500
PRJ-2019-097,PRJ-2019-097-SOV-11,11,Controls - Programming & Commissioning,14,340300,327600,4200,331800,97.5,False,8500
PRJ-2019-097,PRJ-2019-097-SOV-12,12,Insulation,14,355600,343400,3900,347300,97.7,True,8300
PRJ-2019-097,PRJ-2019-097-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",14,211600,205500,1600,207100,97.9,True,4500
PRJ-2019-097,PRJ-2019-097-SOV-14,14,Startup & Commissioning Support,14,173800,167500,2600,170100,97.9,True,3700
PRJ-2019-097,PRJ-2019-097-SOV-15,15,Closeout Documentation & Training,14,104900,101400,1300,102700,97.9,False,2200
PRJ-2019-098,PRJ-2019-098-SOV-01,1,General Conditions & Project Management,14,483600,483200,400,483600,100.0,False,0
PRJ-2019-098,PRJ-2019-098-SOV-02,2,Submittals & Engineering,14,200900,200800,100,200900,100.0,False,0
PRJ-2019-098,PRJ-2019-098-SOV-03,3,Ductwork - Fabrication,19,510100,500300,8200,508500,99.7,True,1600
PRJ-2019-098,PRJ-2019-098-SOV-04,4,Ductwork - Installation,19,690600,678500,10200,688700,99.7,True,1900
PRJ-2019-098,PRJ-2019-098-SOV-05,5,Piping - Hydronic Systems,19,695500,682400,12700,695100,99.9,True,400
PRJ-2019-098,PRJ-2019-098-SOV-06,6,Piping - Refrigerant,19,402100,394500,6700,401200,99.8,True,900
PRJ-2019-098,PRJ-2019-098-SOV-07,7,Equipment - RTUs/AHUs,19,1021900,1002100,19100,1021200,99.9,True,700
PRJ-2019-098,PRJ-2019-098-SOV-08,8,Equipment - Chillers/Boilers,19,544500,534100,10100,544200,99.9,True,300
PRJ-2019-098,PRJ-2019-098-SOV-09,9,Equipment - Terminal Units (VAV/FCU),19,459300,451000,7100,458100,99.7,True,1200
PRJ-2019-098,PRJ-2019-098-SOV-10,10,Controls - DDC/BAS Installation,19,544900,520800,10400,531200,97.5,True,13700
PRJ-2019-098,PRJ-2019-098-SOV-11,11,Controls - Programming & Commissioning,19,303600,290100,6400,296500,97.7,True,7100
PRJ-2019-098,PRJ-2019-098-SOV-12,12,Insulation,19,257000,246200,4700,250900,97.6,True,6100
PRJ-2019-098,PRJ-2019-098-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",19,228300,218400,4800,223200,97.8,True,5100
PRJ-2019-098,PRJ-2019-098-SOV-14,14,Startup & Commissioning Support,19,176400,168100,4100,172200,97.6,True,4200
PRJ-2019-098,PRJ-2019-098-SOV-15,15,Closeout Documentation & Training,19,102300,97500,2400,99900,97.7,True,2400
PRJ-2019-099,PRJ-2019-099-SOV-01,1,General Conditions & Project Management,10,849600,849200,400,849600,100.0,False,0
PRJ-2019-099,PRJ-2019-099-SOV-02,2,Submittals & Engineering,11,377700,377600,100,377700,100.0,False,0
PRJ-2019-099,PRJ-2019-099-SOV-03,3,Ductwork - Fabrication,13,1023300,997700,21400,1019100,99.6,True,4200
PRJ-2019-099,PRJ-2019-099-SOV-04,4,Ductwork - Installation,13,1233100,1203900,26400,1230300,99.8,True,2800
PRJ-2019-099,PRJ-2019-099-SOV-05,5,Piping - Hydronic Systems,13,924500,906400,16300,922700,99.8,False,1800
PRJ-2019-099,PRJ-2019-099-SOV-06,6,Piping - Refrigerant,13,652800,638100,12200,650300,99.6,True,2500
PRJ-2019-099,PRJ-2019-099-SOV-07,7,Equipment - RTUs/AHUs,13,1234500,1207900,24600,1232500,99.8,True,2000
PRJ-2019-099,PRJ-2019-099-SOV-08,8,Equipment - Chillers/Boilers,13,1355000,1327600,25600,1353200,99.9,True,1800
PRJ-2019-099,PRJ-2019-099-SOV-09,9,Equipment - Terminal Units (VAV/FCU),13,685900,671000,13400,684400,99.8,True,1500
PRJ-2019-099,PRJ-2019-099-SOV-10,10,Controls - DDC/BAS Installation,13,675000,639800,18300,658100,97.5,False,16900
PRJ-2019-099,PRJ-2019-099-SOV-11,11,Controls - Programming & Commissioning,13,421900,403800,7500,411300,97.5,True,10600
PRJ-2019-099,PRJ-2019-099-SOV-12,12,Insulation,13,490400,467500,10800,478300,97.5,True,12100
PRJ-2019-099,PRJ-2019-099-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",13,302500,288500,6800,295300,97.6,True,7200
PRJ-2019-099,PRJ-2019-099-SOV-14,14,Startup & Commissioning Support,13,281300,268300,6300,274600,97.6,True,6700
PRJ-2019-099,PRJ-2019-099-SOV-15,15,Closeout Documentation & Training,13,193500,182000,6800,188800,97.6,True,4700
PRJ-2019-100,PRJ-2019-100-SOV-01,1,General Conditions & Project Management,11,455400,455300,100,455400,100.0,False,0
PRJ-2019-100,PRJ-2019-100-SOV-02,2,Submittals & Engineering,10,192700,192500,200,192700,100.0,False,0
PRJ-2019-100,PRJ-2019-100-SOV-03,3,Ductwork - Fabrication,12,511300,494900,15900,510800,99.9,False,500
PRJ-2019-100,PRJ-2019-100-SOV-04,4,Ductwork - Installation,12,618400,599500,17100,616600,99.7,False,1800
PRJ-2019-100,PRJ-2019-100-SOV-05,5,Piping - Hydronic Systems,12,552700,535300,16200,551500,99.8,True,1200
PRJ-2019-100,PRJ-2019-100-SOV-06,6,Piping - Refrigerant,12,251900,244200,6600,250800,99.6,True,1100
PRJ-2019-100,PRJ-2019-100-SOV-07,7,Equipment - RTUs/AHUs,12,795300,770800,23700,794500,99.9,False,800
PRJ-2019-100,PRJ-2019-100-SOV-08,8,Equipment - Chillers/Boilers,12,537100,520400,15300,535700,99.7,True,1400
PRJ-2019-100,PRJ-2019-100-SOV-09,9,Equipment - Terminal Units (VAV/FCU),12,414200,401100,11900,413000,99.7,True,1200
PRJ-2019-100,PRJ-2019-100-SOV-10,10,Controls - DDC/BAS Installation,12,498500,469500,15900,485400,97.4,True,13100
PRJ-2019-100,PRJ-2019-100-SOV-11,11,Controls - Programming & Commissioning,12,262100,247000,8300,255300,97.4,False,6800
PRJ-2019-100,PRJ-2019-100-SOV-12,12,Insulation,12,236200,222600,7900,230500,97.6,True,5700
PRJ-2019-100,PRJ-2019-100-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",12,198400,185800,7200,193000,97.3,True,5400
PRJ-2019-100,PRJ-2019-100-SOV-14,14,Startup & Commissioning Support,12,155400,145600,6600,152200,97.9,True,3200
PRJ-2019-100,PRJ-2019-100-SOV-15,15,Closeout Documentation & Training,12,105400,98700,3900,102600,97.3,True,2800
PRJ-2019-101,PRJ-2019-101-SOV-01,1,General Conditions & Project Management,9,3009300,3008800,500,3009300,100.0,False,0
PRJ-2019-101,PRJ-2019-101-SOV-02,2,Submittals & Engineering,9,1302300,1301100,1200,1302300,100.0,False,0
PRJ-2019-101,PRJ-2019-101-SOV-03,3,Ductwork - Fabrication,11,4627500,4455600,162200,4617800,99.8,False,9700
PRJ-2019-101,PRJ-2019-101-SOV-04,4,Ductwork - Installation,11,4640000,4478600,156700,4635300,99.9,False,4700
PRJ-2019-101,PRJ-2019-101-SOV-05,5,Piping - Hydronic Systems,11,3776300,3643600,119200,3762800,99.6,True,13500
PRJ-2019-101,PRJ-2019-101-SOV-06,6,Piping - Refrigerant,11,2789100,2689900,95400,2785300,99.9,True,3800
PRJ-2019-101,PRJ-2019-101-SOV-07,7,Equipment - RTUs/AHUs,11,5696100,5490800,182000,5672800,99.6,False,23300
PRJ-2019-101,PRJ-2019-101-SOV-08,8,Equipment - Chillers/Boilers,11,4379800,4219000,140700,4359700,99.5,True,20100
PRJ-2019-101,PRJ-2019-101-SOV-09,9,Equipment - Terminal Units (VAV/FCU),11,3299300,3175000,106300,3281300,99.5,True,18000
PRJ-2019-101,PRJ-2019-101-SOV-10,10,Controls - DDC/BAS Installation,11,3313700,3108600,117700,3226300,97.4,True,87400
PRJ-2019-101,PRJ-2019-101-SOV-11,11,Controls - Programming & Commissioning,11,1363400,1274800,55900,1330700,97.6,False,32700
PRJ-2019-101,PRJ-2019-101-SOV-12,12,Insulation,11,2002800,1874800,70400,1945200,97.1,True,57600
PRJ-2019-101,PRJ-2019-101-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",11,1487500,1382900,70800,1453700,97.7,True,33800
PRJ-2019-101,PRJ-2019-101-SOV-14,14,Startup & Commissioning Support,11,986700,918300,43900,962200,97.5,True,24500
PRJ-2019-101,PRJ-2019-101-SOV-15,15,Closeout Documentation & Training,11,436200,405700,19100,424800,97.4,True,11400
PRJ-2019-102,PRJ-2019-102-SOV-01,1,General Conditions & Project Management,18,3612900,3612200,700,3612900,100.0,False,0
PRJ-2019-102,PRJ-2019-102-SOV-02,2,Submittals & Engineering,18,938700,938400,300,938700,100.0,False,0
PRJ-2019-102,PRJ-2019-102-SOV-03,3,Ductwork - Fabrication,25,4362600,4298000,53800,4351800,99.8,True,10800
PRJ-2019-102,PRJ-2019-102-SOV-04,4,Ductwork - Installation,25,5421000,5343600,65600,5409200,99.8,True,11800
PRJ-2019-102,PRJ-2019-102-SOV-05,5,Piping - Hydronic Systems,25,3549700,3498000,49700,3547700,99.9,True,2000
PRJ-2019-102,PRJ-2019-102-SOV-06,6,Piping - Refrigerant,25,2276000,2242800,29700,2272500,99.8,True,3500
PRJ-2019-102,PRJ-2019-102-SOV-07,7,Equipment - RTUs/AHUs,25,5765200,5681100,75400,5756500,99.8,True,8700
PRJ-2019-102,PRJ-2019-102-SOV-08,8,Equipment - Chillers/Boilers,25,3396100,3347000,44300,3391300,99.9,True,4800
PRJ-2019-102,PRJ-2019-102-SOV-09,9,Equipment - Terminal Units (VAV/FCU),25,3332400,3284500,41100,3325600,99.8,False,6800
PRJ-2019-102,PRJ-2019-102-SOV-10,10,Controls - DDC/BAS Installation,25,3460100,3323900,50500,3374400,97.5,True,85700
PRJ-2019-102,PRJ-2019-102-SOV-11,11,Controls - Programming & Commissioning,25,2005900,1926900,29800,1956700,97.5,True,49200
PRJ-2019-102,PRJ-2019-102-SOV-12,12,Insulation,25,2300300,2210500,33500,2244000,97.6,True,56300
PRJ-2019-102,PRJ-2019-102-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",25,997200,956100,19900,976000,97.9,True,21200
PRJ-2019-102,PRJ-2019-102-SOV-14,14,Startup & Commissioning Support,25,903500,867200,15700,882900,97.7,True,20600
PRJ-2019-102,PRJ-2019-102-SOV-15,15,Closeout Documentation & Training,25,491400,471500,8400,479900,97.7,True,11500
PRJ-2019-103,PRJ-2019-103-SOV-01,1,General Conditions & Project Management,17,371900,371800,100,371900,100.0,False,0
PRJ-2019-103,PRJ-2019-103-SOV-02,2,Submittals & Engineering,16,123500,123300,200,123500,100.0,False,0
